date,region_key,PM10_avg,PM25_avg,ws_avg,ta_avg,hm_avg,pa_avg,rn_day,month,season,dayofweek,PM25_lag1,PM25_lag7
2023-01-08,강원,89.43205574912892,54.646115906288536,0.8,-1.2,85.8,1016.4,11.394455994455992,1,4,6,61.34382871536524,29.18335343787696
2023-01-09,강원,69.48345153664303,34.11276332094176,0.9,1.6,70.1,1015.3,11.394455994455992,1,4,0,54.646115906288536,13.73625
2023-01-10,강원,41.462829736211035,21.20446096654275,0.8,-1.8,76.8,1020.0,11.394455994455992,1,4,1,34.11276332094176,15.400255754475703
2023-01-11,강원,42.86642156862745,26.674271229404308,0.8,-1.5,78.0,1017.4,11.394455994455992,1,4,2,21.20446096654275,16.121951219512194
2023-01-12,강원,44.31868131868132,26.31186868686869,0.7,-0.1,71.1,1014.7,11.394455994455992,1,4,3,26.674271229404308,27.014454664914584
2023-01-13,강원,18.62216924910608,14.104868913857677,0.6,2.6,98.5,1003.9,28.6,1,4,4,26.31186868686869,40.768944099378885
2023-01-14,강원,11.713457076566126,8.064197530864197,2.0,4.0,90.3,1006.3,2.4,1,4,5,14.104868913857677,61.34382871536524
2023-01-15,강원,7.071345029239766,5.3733681462141,1.8,0.9,93.8,1008.5,13.2,1,4,6,8.064197530864197,54.646115906288536
2023-01-16,강원,17.71461716937355,13.695989650711514,2.0,-3.7,75.3,1015.4,11.394455994455992,1,4,0,5.3733681462141,34.11276332094176
2023-01-17,강원,28.442873969375736,19.25839793281654,0.9,-5.0,79.6,1017.8,0.0,1,4,1,13.695989650711514,21.20446096654275
2023-01-18,강원,42.656734207389746,24.4309462915601,1.0,-3.8,78.6,1017.0,0.0,1,4,2,19.25839793281654,26.674271229404308
2023-01-19,강원,50.46666666666667,24.192161820480404,0.9,-4.3,82.6,1014.5,0.6,1,4,3,24.4309462915601,26.31186868686869
2023-01-20,강원,55.91145218417946,18.649432534678436,2.7,-3.7,51.4,1016.7,1.3,1,4,4,24.192161820480404,14.104868913857677
2023-01-21,강원,19.13310185185185,9.839307787391842,1.1,-8.3,64.1,1021.7,11.394455994455992,1,4,5,18.649432534678436,8.064197530864197
2023-01-22,강원,32.02893518518518,16.05766871165644,0.9,-4.4,72.5,1017.9,11.394455994455992,1,4,6,9.839307787391842,5.3733681462141
2023-01-23,강원,51.204861111111114,25.79656862745098,1.4,-1.8,62.9,1013.4,11.394455994455992,1,4,0,16.05766871165644,13.695989650711514
2023-01-24,강원,24.40740740740741,11.476485148514852,3.1,-13.5,42.1,1017.8,11.394455994455992,1,4,1,25.79656862745098,19.25839793281654
2023-01-25,강원,18.489916963226573,8.71055900621118,1.5,-13.0,49.6,1020.8,11.394455994455992,1,4,2,11.476485148514852,24.4309462915601
2023-01-26,강원,23.106666666666666,15.536213468869123,0.8,-7.6,70.5,1015.1,0.1,1,4,3,8.71055900621118,24.192161820480404
2023-01-27,강원,31.224705882352943,19.405438813349814,1.8,-8.4,61.4,1012.2,11.394455994455992,1,4,4,15.536213468869123,18.649432534678436
2023-01-28,강원,37.56597222222222,12.687732342007434,1.6,-8.3,57.6,1012.3,11.394455994455992,1,4,5,19.405438813349814,9.839307787391842
2023-01-29,강원,37.436848203939746,14.746323529411764,1.0,-6.0,77.1,1009.8,1.4,1,4,6,12.687732342007434,16.05766871165644
2023-01-30,강원,36.93870192307692,16.782553729456385,0.9,-4.3,67.6,1013.3,11.394455994455992,1,4,0,14.746323529411764,25.79656862745098
2023-01-31,강원,34.62273276904474,18.13186813186813,0.7,-3.2,71.6,1009.2,11.394455994455992,1,4,1,16.782553729456385,11.476485148514852
2023-02-01,강원,49.80522565320665,28.694915254237287,1.7,-0.8,63.0,1009.4,11.394455994455992,2,4,2,18.13186813186813,8.71055900621118
2023-02-02,강원,35.840749414519905,20.93349455864571,1.0,-3.9,60.9,1017.2,11.394455994455992,2,4,3,28.694915254237287,15.536213468869123
2023-02-03,강원,34.25233644859813,19.279661016949152,1.2,-2.5,53.0,1013.7,11.394455994455992,2,4,4,20.93349455864571,19.405438813349814
2023-02-04,강원,35.289351851851855,22.38231780167264,1.2,-3.2,60.0,1015.2,11.394455994455992,2,4,5,19.279661016949152,12.687732342007434
2023-02-05,강원,50.769675925925924,37.91204819277108,1.2,-2.1,70.3,1015.7,11.394455994455992,2,4,6,22.38231780167264,14.746323529411764
2023-02-06,강원,69.10223266745005,51.10086100861009,0.6,-1.3,77.5,1013.8,11.394455994455992,2,4,0,37.91204819277108,16.782553729456385
2023-02-07,강원,59.95438175270108,42.94,0.5,-0.5,77.4,1012.7,11.394455994455992,2,4,1,51.10086100861009,18.13186813186813
2023-02-08,강원,55.573634204275535,40.5769696969697,0.8,-0.3,67.0,1016.7,11.394455994455992,2,4,2,42.94,28.694915254237287
2023-02-09,강원,32.73159144893112,21.18062200956938,1.8,1.4,58.1,1018.7,11.394455994455992,2,4,3,40.5769696969697,20.93349455864571
2023-02-10,강원,18.631887456037514,14.279481132075471,1.1,1.9,81.6,1011.7,1.1,2,4,4,21.18062200956938,19.279661016949152
2023-02-11,강원,32.11226851851852,25.441314553990612,0.8,-0.7,86.0,1014.8,11.394455994455992,2,4,5,14.279481132075471,22.38231780167264
2023-02-12,강원,45.4577056778679,34.54556074766355,1.2,1.6,77.4,1013.4,11.394455994455992,2,4,6,25.441314553990612,37.91204819277108
2023-02-13,강원,20.893691588785046,14.523976608187134,2.2,4.4,65.0,1010.0,11.394455994455992,2,4,0,34.54556074766355,51.10086100861009
2023-02-14,강원,14.46816037735849,9.403091557669441,1.7,0.2,65.4,1014.0,11.394455994455992,2,4,1,14.523976608187134,42.94
2023-02-15,강원,14.19739952718676,8.615384615384615,2.1,0.9,56.0,1020.4,11.394455994455992,2,4,2,9.403091557669441,40.5769696969697
2023-02-16,강원,21.713085234093636,15.165259348612787,1.6,0.0,69.8,1021.0,11.394455994455992,2,4,3,8.615384615384615,21.18062200956938
2023-02-17,강원,48.8676293622142,33.86369119420989,0.9,0.8,67.8,1018.5,11.394455994455992,2,4,4,15.165259348612787,14.279481132075471
2023-02-18,강원,61.15119047619048,43.627684964200476,0.7,1.4,71.5,1011.5,11.394455994455992,2,4,5,33.86369119420989,25.441314553990612
2023-02-19,강원,41.529761904761905,31.131642512077295,2.2,3.2,50.9,1008.6,11.394455994455992,2,4,6,43.627684964200476,34.54556074766355
2023-02-20,강원,33.34363411619283,9.122524752475247,2.1,-1.0,42.0,1016.0,11.394455994455992,2,4,0,31.131642512077295,14.523976608187134
2023-02-21,강원,24.545566502463053,11.907407407407407,1.0,-2.3,47.6,1024.7,11.394455994455992,2,4,1,9.122524752475247,9.403091557669441
2023-02-22,강원,30.738151658767773,17.40521327014218,1.3,-0.1,50.3,1020.5,11.394455994455992,2,4,2,11.907407407407407,8.615384615384615
2023-02-23,강원,54.12895662368113,34.715801886792455,1.1,2.0,55.8,1014.2,11.394455994455992,2,4,3,17.40521327014218,15.165259348612787
2023-02-24,강원,54.35245901639344,35.19741480611046,1.4,1.8,54.9,1014.3,11.394455994455992,2,4,4,34.715801886792455,33.86369119420989
2023-02-25,강원,30.020881670533644,17.29500580720093,1.1,-0.3,52.3,1021.6,11.394455994455992,2,4,5,35.19741480611046,43.627684964200476
2023-02-26,강원,30.466435185185187,17.12630359212051,1.0,0.4,50.1,1026.7,11.394455994455992,2,4,6,17.29500580720093,31.131642512077295
2023-02-27,강원,35.15712545676005,21.449451887941535,1.2,2.9,49.6,1024.2,11.394455994455992,2,4,0,17.12630359212051,9.122524752475247
2023-02-28,강원,36.707228915662654,24.05428226779252,2.0,3.3,59.1,1017.5,11.394455994455992,2,4,1,21.449451887941535,11.907407407407407
2023-03-01,강원,34.773148148148145,20.540697674418606,1.9,4.1,51.5,1012.1,11.394455994455992,3,1,2,24.05428226779252,17.40521327014218
2023-03-02,강원,45.50813953488372,11.29220023282887,1.9,1.9,32.4,1016.9,11.394455994455992,3,1,3,20.540697674418606,34.715801886792455
2023-03-03,강원,49.49295774647887,20.55188679245283,1.5,2.3,60.9,1018.1,11.394455994455992,3,1,4,11.29220023282887,35.19741480611046
2023-03-04,강원,63.04976851851852,37.26162790697674,0.8,4.7,65.4,1019.6,11.394455994455992,3,1,5,20.55188679245283,17.29500580720093
2023-03-05,강원,68.01273148148148,43.012775842044135,1.2,5.5,61.6,1017.8,11.394455994455992,3,1,6,37.26162790697674,17.12630359212051
2023-03-06,강원,63.48760330578512,37.7612293144208,1.2,6.1,48.6,1013.8,11.394455994455992,3,1,0,43.012775842044135,21.449451887941535
2023-03-07,강원,74.90116279069767,40.994172494172496,1.0,8.3,57.4,1010.8,11.394455994455992,3,1,1,37.7612293144208,24.05428226779252
2023-03-08,강원,65.04617253948967,35.79197080291971,1.1,8.0,78.1,1010.1,0.8,3,1,2,40.994172494172496,20.540697674418606
2023-03-09,강원,60.75211608222491,30.150485436893202,1.4,9.0,79.3,1006.1,1.6,3,1,3,35.79197080291971,11.29220023282887
2023-03-10,강원,80.69385342789599,30.081850533807827,0.9,9.6,66.1,1010.2,11.394455994455992,3,1,4,30.150485436893202,20.55188679245283
2023-03-11,강원,70.89699074074075,33.95697674418604,1.1,12.0,52.6,1012.3,11.394455994455992,3,1,5,30.081850533807827,37.26162790697674
2023-03-12,강원,38.41114982578397,17.216056670602125,2.2,4.4,67.9,1009.3,6.9,3,1,6,33.95697674418604,43.012775842044135
2023-03-13,강원,33.88755980861244,9.739336492890995,2.4,2.7,28.9,1012.3,11.394455994455992,3,1,0,17.216056670602125,37.7612293144208
2023-03-14,강원,50.80321782178218,13.361985472154963,1.3,6.9,42.5,1008.9,11.394455994455992,3,1,1,9.739336492890995,40.994172494172496
2023-03-15,강원,37.73568818514007,13.66058394160584,1.9,7.6,62.1,1010.3,11.394455994455992,3,1,2,13.361985472154963,35.79197080291971
2023-03-16,강원,56.24580335731415,11.896510228640192,1.4,3.9,37.3,1018.6,11.394455994455992,3,1,3,13.66058394160584,30.150485436893202
2023-03-17,강원,34.62529274004684,11.596717467760843,1.0,5.8,37.4,1014.5,11.394455994455992,3,1,4,11.896510228640192,30.081850533807827
2023-03-18,강원,39.764150943396224,16.88249118683901,1.4,7.0,42.1,1009.0,11.394455994455992,3,1,5,11.596717467760843,33.95697674418604
2023-03-19,강원,63.43214285714286,33.698090692124104,1.4,6.8,50.8,1010.2,11.394455994455992,3,1,6,16.88249118683901,17.216056670602125
2023-03-20,강원,56.294610778443115,34.328947368421055,1.3,8.0,47.1,1006.5,11.394455994455992,3,1,0,33.698090692124104,9.739336492890995
2023-03-21,강원,56.036904761904765,29.495828367103694,0.9,10.4,43.3,1003.2,11.394455994455992,3,1,1,34.328947368421055,13.361985472154963
2023-03-22,강원,49.588796185935635,22.021428571428572,1.0,14.8,47.0,1000.9,11.394455994455992,3,1,2,29.495828367103694,13.66058394160584
2023-03-23,강원,43.78921568627451,18.809290953545233,1.4,16.3,53.3,997.6,11.394455994455992,3,1,3,22.021428571428572,11.896510228640192
2023-03-24,강원,93.91479289940828,19.810650887573964,2.9,10.8,60.4,1006.5,11.394455994455992,3,1,4,18.809290953545233,11.596717467760843
2023-03-25,강원,69.42129629629629,15.836710369487484,2.4,12.3,54.6,1008.8,11.394455994455992,3,1,5,19.810650887573964,16.88249118683901
